gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
Male,Group e,Associate's degree,Standard,Completed,62,61,58
Female,Group e,Associate's degree,Standard,Completed,79,88,94
Male,Group b,High school,Standard,Completed,73,69,68
Female,Group c,Bachelor's degree,Free/reduced,Completed,66,83,83
Male,Group c,Associate's degree,Standard,Completed,51,60,58
Female,Group d,High school,Standard,None,51,66,62
Male,Group e,Bachelor's degree,Standard,Completed,85,66,71
Male,Group a,Associate's degree,Standard,Completed,97,92,86
Male,Group c,High school,Standard,Completed,75,69,68
Male,Group d,Associate's degree,Free/reduced,Completed,79,82,80
Female,Group c,Associate's degree,Standard,None,81,77,79
Female,Group d,Associate's degree,Standard,None,82,95,89
Female,Group d,Master's degree,Standard,None,64,63,66
Male,Group e,Some high school,Free/reduced,Completed,78,83,80
Female,Group a,Some high school,Standard,Completed,92,100,97
Male,Group c,High school,Standard,Completed,72,67,64
Female,Group c,High school,Free/reduced,None,62,67,64
Male,Group c,Master's degree,Standard,None,79,72,69
Male,Group c,Some high school,Free/reduced,None,79,76,65
Male,Group b,Bachelor's degree,Free/reduced,Completed,87,90,88
Female,Group b,Associate's degree,Standard,None,40,48,50
Male,Group d,Some college,Free/reduced,None,77,62,64
Male,Group e,Associate's degree,Standard,None,53,45,40
Female,Group c,Some college,Free/reduced,None,32,39,33
Female,Group c,Associate's degree,Standard,Completed,55,72,79
Male,Group c,Master's degree,Free/reduced,None,61,67,66
Female,Group b,Associate's degree,Free/reduced,None,53,70,70
Male,Group d,Some high school,Standard,None,73,66,62
Female,Group d,Some college,Standard,Completed,74,75,79
Female,Group c,Some college,Standard,None,63,74,74
Male,Group c,Bachelor's degree,Standard,Completed,96,90,92
Female,Group d,Some college,Free/reduced,Completed,63,80,80
Male,Group b,Bachelor's degree,Free/reduced,None,48,51,46
Male,Group b,Associate's degree,Standard,None,48,43,45
Female,Group e,Bachelor's degree,Free/reduced,Completed,92,100,100
Female,Group d,Master's degree,Free/reduced,Completed,61,71,78
Male,Group b,High school,Free/reduced,None,63,48,47
Male,Group d,Bachelor's degree,Free/reduced,None,68,68,67
Male,Group b,Some college,Standard,Completed,71,75,70
Male,Group a,Bachelor's degree,Standard,None,91,96,92
Female,Group c,Some college,Standard,None,53,62,56
Female,Group c,High school,Free/reduced,Completed,50,66,64
Female,Group e,High school,Standard,None,74,81,71
Male,Group a,Associate's degree,Free/reduced,Completed,40,55,53
Male,Group a,Some college,Standard,Completed,61,51,52
Female,Group b,High school,Standard,None,81,91,89
Female,Group b,Some college,Free/reduced,Completed,48,56,58
Female,Group d,Master's degree,Standard,None,53,61,68
Female,Group d,Some high school,Standard,None,81,97,96
Female,Group e,Some high school,Standard,None,77,79,80
Female,Group d,Bachelor's degree,Free/reduced,None,63,73,78
Female,Group d,Associate's degree,Standard,Completed,73,75,80
Female,Group d,Some college,Standard,None,69,77,77
Female,Group c,Associate's degree,Standard,None,65,76,76
Female,Group a,High school,Standard,None,55,73,73
Female,Group c,Bachelor's degree,Free/reduced,None,44,63,62
Female,Group c,Some college,Standard,None,54,64,65
Female,Group a,Some high school,Standard,None,48,66,65
Male,Group c,Some college,Free/reduced,None,58,57,54
Male,Group a,Some high school,Standard,None,71,62,50
Male,Group e,Bachelor's degree,Standard,None,68,68,64
Female,Group e,High school,Standard,None,74,76,73
Female,Group c,Bachelor's degree,Standard,Completed,92,100,99
Female,Group c,Bachelor's degree,Standard,Completed,56,79,72
Male,Group b,High school,Free/reduced,None,30,24,15
Male,Group a,Some high school,Standard,None,53,54,48
Female,Group d,High school,Standard,None,69,77,73
Female,Group d,Some high school,Standard,None,65,82,81
Female,Group d,Master's degree,Standard,None,54,60,63
Female,Group c,High school,Standard,None,29,29,30
Female,Group e,Some college,Standard,None,76,78,80
Male,Group d,High school,Free/reduced,None,60,57,51
Male,Group d,Master's degree,Free/reduced,Completed,84,89,90
Male,Group c,Some high school,Standard,None,75,72,62
Female,Group c,Associate's degree,Standard,None,85,84,82
Female,Group c,Master's degree,Free/reduced,None,40,58,54
Female,Group e,Some college,Standard,None,61,64,62
Female,Group b,Associate's degree,Standard,None,58,63,65
Male,Group d,Some college,Free/reduced,Completed,69,60,63
Female,Group c,Some college,Standard,None,58,59,66
Male,Group c,Bachelor's degree,Standard,Completed,94,90,91
Female,Group c,Associate's degree,Standard,None,65,77,74
Female,Group a,Associate's degree,Standard,None,82,93,93
Female,Group c,High school,Standard,None,60,68,72
Female,Group e,Bachelor's degree,Standard,None,37,45,38
Male,Group d,Bachelor's degree,Standard,None,88,78,83
Male,Group d,Master's degree,Standard,None,95,81,84
Male,Group c,Associate's degree,Free/reduced,Completed,65,73,68
Female,Group c,High school,Free/reduced,None,35,61,54
Male,Group b,Bachelor's degree,Free/reduced,None,62,63,56
Male,Group c,High school,Free/reduced,Completed,58,51,52
Male,Group a,Some college,Standard,Completed,100,96,86
Female,Group e,Bachelor's degree,Free/reduced,None,61,58,62
Male,Group d,Some college,Standard,Completed,100,97,99
Male,Group b,Associate's degree,Free/reduced,Completed,69,70,63
Male,Group d,Associate's degree,Standard,None,61,48,46
Male,Group d,Some college,Free/reduced,None,49,57,46
Female,Group c,Some high school,Standard,Completed,44,51,55
Male,Group d,Some college,Standard,None,67,64,70
Male,Group b,High school,Standard,None,79,60,65
Female,Group b,Bachelor's degree,Standard,Completed,66,74,81
Female,Group c,High school,Standard,None,75,88,85
Male,Group d,Some high school,Standard,None,84,84,80
Male,Group a,High school,Standard,None,71,74,64
Female,Group b,High school,Free/reduced,Completed,67,80,81
Female,Group d,Some high school,Standard,Completed,80,92,88
Male,Group e,Some college,Standard,None,86,76,74
Female,Group d,Associate's degree,Standard,None,76,74,73
Male,Group d,High school,Standard,None,41,52,51
Female,Group d,Associate's degree,Free/reduced,Completed,74,88,90
Female,Group b,Some high school,Free/reduced,None,72,81,79
Female,Group e,High school,Standard,Completed,74,79,80
Male,Group b,High school,Standard,None,70,65,60
Female,Group b,Bachelor's degree,Standard,Completed,65,81,81
Female,Group d,Associate's degree,Standard,None,59,70,65
Female,Group e,High school,Free/reduced,None,64,62,68
Female,Group b,High school,Standard,None,50,53,55
Female,Group d,Some college,Standard,Completed,69,79,81
Male,Group c,Some high school,Free/reduced,Completed,51,56,53
Female,Group a,High school,Standard,Completed,68,80,76
Female,Group d,Some college,Standard,Completed,85,86,98
Female,Group a,Associate's degree,Standard,Completed,65,70,74
Female,Group b,Some high school,Standard,None,73,79,79
Female,Group b,Some college,Standard,None,62,67,67
Male,Group c,Associate's degree,Free/reduced,None,77,67,64
Male,Group d,Some high school,Standard,None,69,66,61
Female,Group d,Associate's degree,Free/reduced,None,43,60,58
Male,Group d,Associate's degree,Standard,None,90,87,85
Male,Group c,Some college,Free/reduced,None,74,77,73
Male,Group c,Some high school,Standard,None,73,66,63
Female,Group d,Some college,Free/reduced,None,55,71,69
Female,Group c,High school,Standard,None,65,69,67
Male,Group d,Associate's degree,Standard,None,80,63,63
Female,Group c,Some high school,Free/reduced,Completed,50,60,60
Female,Group c,Some college,Free/reduced,Completed,63,73,71
Female,Group b,Bachelor's degree,Free/reduced,None,77,85,87
Male,Group c,Some college,Standard,None,73,74,61
Male,Group d,Associate's degree,Standard,Completed,81,72,77
Female,Group c,High school,Free/reduced,None,66,76,68
Male,Group d,Associate's degree,Free/reduced,None,52,57,50
Female,Group c,Some college,Standard,None,69,78,76
Female,Group c,Associate's degree,Standard,Completed,65,84,84
Female,Group d,High school,Standard,Completed,69,77,78
Female,Group b,Some college,Standard,Completed,50,64,66
Female,Group e,Some college,Standard,Completed,73,78,76
Female,Group c,Some high school,Standard,Completed,70,82,76
Male,Group d,Associate's degree,Free/reduced,None,81,75,78
Male,Group d,Some college,Free/reduced,None,63,61,60
Female,Group d,High school,Standard,None,67,72,74
Male,Group b,High school,Standard,None,60,68,60
Male,Group b,High school,Standard,None,62,55,54
Female,Group c,Some high school,Free/reduced,Completed,29,40,44
Male,Group b,Some college,Standard,Completed,62,66,68
Female,Group e,Master's degree,Standard,Completed,94,99,100
Male,Group e,Some college,Standard,Completed,85,75,68
Male,Group d,Associate's degree,Free/reduced,None,77,78,73
Male,Group a,High school,Free/reduced,None,53,58,44
Male,Group e,Some college,Free/reduced,None,93,90,83
Female,Group c,Associate's degree,Standard,None,49,53,53
Female,Group e,Associate's degree,Free/reduced,None,73,76,78
Female,Group c,Bachelor's degree,Free/reduced,Completed,66,74,81
Female,Group d,Associate's degree,Standard,None,77,77,73
Female,Group c,Some high school,Standard,None,49,63,56
Female,Group d,Some college,Free/reduced,None,79,89,86
Female,Group c,Associate's degree,Standard,Completed,75,82,90
Female,Group a,Bachelor's degree,Standard,None,59,72,70
Female,Group d,Associate's degree,Standard,Completed,57,78,79
Male,Group c,High school,Free/reduced,None,66,66,59
Female,Group e,Bachelor's degree,Standard,Completed,79,81,82
Female,Group b,Some high school,Standard,None,57,67,72
Male,Group a,Bachelor's degree,Standard,Completed,87,84,87
Female,Group d,Some college,Standard,None,63,64,67
Female,Group b,Some high school,Free/reduced,Completed,59,63,64
Male,Group a,Bachelor's degree,Free/reduced,None,62,72,65
Male,Group d,High school,Standard,None,46,34,36
Male,Group c,Some college,Standard,None,66,59,52
Male,Group d,High school,Standard,None,89,87,79
Female,Group d,Associate's degree,Free/reduced,Completed,42,61,58
Male,Group c,Some college,Standard,Completed,93,84,90
Female,Group e,Some high school,Standard,Completed,80,85,85
Female,Group d,Some college,Standard,None,98,100,99
Male,Group d,Master's degree,Standard,None,81,81,84
Female,Group b,Some high school,Standard,Completed,60,70,74
Female,Group b,Associate's degree,Free/reduced,Completed,76,94,87
Male,Group c,Associate's degree,Standard,Completed,73,78,72
Female,Group c,Associate's degree,Standard,Completed,96,96,99
Female,Group c,High school,Standard,None,76,76,74
Male,Group e,Associate's degree,Free/reduced,Completed,91,73,80
Female,Group c,Some college,Free/reduced,None,62,72,70
Male,Group d,Some high school,Free/reduced,Completed,55,59,59
Female,Group b,Some high school,Free/reduced,Completed,74,90,88
Male,Group c,High school,Standard,None,50,48,42
Male,Group b,Some college,Standard,None,47,43,41
Male,Group e,Some college,Standard,Completed,81,74,71
Female,Group e,Associate's degree,Standard,Completed,65,75,77
Male,Group e,Some high school,Standard,Completed,68,51,57
Female,Group d,High school,Free/reduced,None,73,92,84
Male,Group c,Some college,Standard,None,53,39,37
Female,Group b,Associate's degree,Free/reduced,Completed,68,77,80
Male,Group a,Some high school,Free/reduced,None,55,46,43
Female,Group c,Some college,Standard,Completed,87,89,94
Male,Group d,Some high school,Standard,None,55,47,44
Female,Group e,Some college,Free/reduced,None,53,58,57
Male,Group c,Master's degree,Standard,None,67,57,59
Male,Group c,Associate's degree,Standard,None,92,79,84
Female,Group b,Some college,Free/reduced,Completed,53,66,73
Male,Group d,Associate's degree,Standard,None,81,71,73
Male,Group c,High school,Free/reduced,None,61,60,55
Male,Group d,Bachelor's degree,Standard,None,80,73,72
Female,Group a,Associate's degree,Free/reduced,None,37,57,56
Female,Group c,High school,Standard,None,81,84,82
Female,Group c,Associate's degree,Standard,Completed,59,73,72
Male,Group b,Some college,Free/reduced,None,55,55,47
Male,Group d,Associate's degree,Standard,None,72,79,74
Male,Group d,High school,Standard,None,69,75,71
Male,Group c,Some college,Standard,None,69,64,68
Female,Group c,Bachelor's degree,Free/reduced,None,50,60,59
Male,Group b,Some college,Standard,Completed,87,84,86
Male,Group d,Some high school,Standard,Completed,71,69,68
Male,Group e,Some college,Standard,None,68,72,65
Male,Group c,Master's degree,Free/reduced,Completed,79,77,75
Female,Group c,Some high school,Standard,Completed,77,90,85
Male,Group c,Associate's degree,Free/reduced,None,58,55,53
Female,Group e,Associate's degree,Standard,None,84,95,92
Male,Group d,Some college,Standard,None,55,58,52
Male,Group e,Bachelor's degree,Free/reduced,Completed,70,68,72
Female,Group d,Some college,Free/reduced,Completed,52,59,65
Male,Group b,Some college,Standard,Completed,69,77,77
Female,Group c,High school,Free/reduced,None,53,72,64
Female,Group d,Some high school,Standard,None,48,58,54
Male,Group d,Some high school,Standard,Completed,78,81,86
Female,Group b,High school,Standard,None,62,62,63
Male,Group d,Some college,Standard,None,60,63,59
Female,Group b,High school,Standard,None,74,72,72
Female,Group c,High school,Standard,Completed,58,75,77
Male,Group b,High school,Standard,Completed,76,62,60
Female,Group d,Some high school,Standard,None,68,71,75
Male,Group a,Some college,Free/reduced,None,58,60,57
Male,Group b,High school,Standard,None,52,48,49
Male,Group d,Bachelor's degree,Standard,None,75,73,74
Female,Group b,Some high school,Free/reduced,Completed,52,67,72
Female,Group c,Bachelor's degree,Free/reduced,None,62,78,79
Male,Group b,Some college,Standard,None,66,65,60
Female,Group b,Some high school,Free/reduced,None,49,58,55
Female,Group b,High school,Standard,None,66,72,70
Female,Group c,Some college,Free/reduced,None,35,44,43
Female,Group a,Some college,Standard,Completed,72,79,82
Male,Group e,Associate's degree,Standard,Completed,94,85,82
Female,Group d,Associate's degree,Free/reduced,None,46,56,57
Female,Group b,Master's degree,Standard,None,77,90,84
Female,Group b,High school,Free/reduced,Completed,76,85,82
Female,Group c,Associate's degree,Standard,Completed,52,59,62
Male,Group c,Bachelor's degree,Standard,Completed,91,81,79
Female,Group b,Some high school,Standard,Completed,32,51,44
Female,Group e,Some high school,Free/reduced,None,72,79,77
Female,Group b,Some college,Standard,None,19,38,32
Male,Group c,Associate's degree,Free/reduced,None,68,65,61
Female,Group c,Master's degree,Free/reduced,None,52,65,61
Female,Group b,High school,Standard,None,48,62,60
Female,Group d,Some college,Free/reduced,None,60,66,70
Male,Group d,High school,Free/reduced,None,66,74,69
Male,Group e,Some high school,Standard,Completed,89,84,77
Female,Group b,High school,Standard,None,42,52,51
Female,Group e,Associate's degree,Free/reduced,Completed,57,68,73
Male,Group d,High school,Standard,None,70,70,70
Female,Group e,Associate's degree,Free/reduced,None,70,84,81
Male,Group e,Some college,Standard,None,69,60,54
Female,Group c,Associate's degree,Standard,None,52,55,57
Male,Group c,Some high school,Standard,Completed,67,73,68
Male,Group c,Some high school,Standard,Completed,76,80,73
Female,Group e,Associate's degree,Standard,None,87,94,95
Female,Group b,Some college,Standard,None,82,85,87
Female,Group c,Some college,Standard,None,73,76,78
Male,Group a,Some college,Free/reduced,None,75,81,74
Female,Group d,Some college,Free/reduced,None,64,74,75
Female,Group e,High school,Free/reduced,None,41,45,40
Male,Group c,High school,Standard,None,90,75,69
Male,Group b,Bachelor's degree,Standard,None,59,54,51
Male,Group a,Some high school,Standard,None,51,31,36
Male,Group a,High school,Free/reduced,None,45,47,49
Female,Group c,Master's degree,Standard,Completed,54,64,67
Male,Group e,Some high school,Standard,Completed,87,84,76
Female,Group c,High school,Standard,None,72,80,83
Male,Group b,Some high school,Standard,Completed,94,86,87
Female,Group a,Bachelor's degree,Standard,None,45,59,64
Male,Group d,Bachelor's degree,Free/reduced,Completed,61,70,76
Female,Group b,High school,Free/reduced,None,60,72,68
Female,Group c,Some high school,Standard,None,77,91,88
Female,Group a,Some high school,Standard,Completed,85,90,92
Female,Group d,Bachelor's degree,Free/reduced,None,78,90,93
Male,Group e,Some college,Free/reduced,Completed,49,52,51
Female,Group b,High school,Free/reduced,None,71,87,82
Female,Group c,Some high school,Free/reduced,None,48,58,52
Male,Group c,High school,Standard,None,62,67,58
Female,Group c,Associate's degree,Free/reduced,Completed,56,68,70
Female,Group c,Some high school,Standard,None,65,69,76
Female,Group d,Some high school,Free/reduced,Completed,69,86,81
Male,Group b,Some high school,Standard,None,68,54,53
Female,Group a,Some college,Free/reduced,None,61,60,57
Female,Group c,Bachelor's degree,Free/reduced,Completed,74,86,89
Male,Group a,Bachelor's degree,Standard,None,64,60,58
Female,Group b,High school,Standard,Completed,77,82,89
Male,Group b,Some college,Standard,None,58,50,45
Female,Group c,High school,Standard,Completed,60,64,74
Male,Group e,High school,Standard,None,73,64,57
Female,Group a,High school,Standard,Completed,75,82,79
Male,Group b,Associate's degree,Free/reduced,Completed,58,57,53
Female,Group c,Associate's degree,Standard,None,66,77,73
Female,Group d,High school,Free/reduced,None,39,52,46
Male,Group c,Some high school,Standard,None,64,58,51
Female,Group b,High school,Free/reduced,Completed,23,44,36
Male,Group b,Some college,Free/reduced,Completed,74,77,76
Female,Group d,Some high school,Free/reduced,Completed,40,65,64
Male,Group e,Master's degree,Standard,None,90,85,84
Male,Group c,Master's degree,Standard,Completed,91,85,85
Male,Group d,High school,Standard,None,64,54,50
Female,Group c,High school,Standard,None,59,72,68
Male,Group d,Associate's degree,Standard,None,80,75,69
Male,Group c,Master's degree,Standard,None,71,67,67
Female,Group a,High school,Standard,None,61,68,63
Female,Group e,Some college,Standard,None,87,85,93
Male,Group e,Some high school,Standard,None,82,67,61
Male,Group c,Some high school,Standard,None,62,64,55
Female,Group b,Bachelor's degree,Standard,None,97,97,96
Male,Group b,Some college,Free/reduced,None,75,68,65
Female,Group c,Bachelor's degree,Standard,None,65,79,81
Male,Group b,High school,Standard,Completed,52,49,46
Male,Group c,Associate's degree,Free/reduced,None,87,73,72
Female,Group c,Associate's degree,Standard,None,53,62,53
Female,Group e,Master's degree,Free/reduced,None,81,86,87
Male,Group d,Bachelor's degree,Free/reduced,Completed,39,42,38
Female,Group c,Some college,Standard,Completed,71,71,80
Male,Group c,Associate's degree,Standard,None,97,93,91
Male,Group d,Some college,Standard,Completed,82,82,88
Male,Group c,High school,Free/reduced,None,59,53,52
Male,Group b,Associate's degree,Standard,None,61,42,41
Male,Group e,Associate's degree,Free/reduced,Completed,78,74,72
Male,Group c,Associate's degree,Free/reduced,None,49,51,51
Male,Group b,High school,Standard,None,59,58,47
Female,Group c,Some college,Standard,Completed,70,72,76
Male,Group b,Associate's degree,Standard,Completed,82,84,78
Male,Group e,Associate's degree,Free/reduced,None,90,90,82
Female,Group c,Bachelor's degree,Free/reduced,None,43,62,61
Male,Group c,Some college,Free/reduced,None,80,64,66
Male,Group d,Some college,Standard,None,81,82,84
Male,Group c,Some high school,Standard,None,57,61,54
Female,Group d,Some high school,Standard,None,59,72,80
Female,Group d,Associate's degree,Standard,None,64,76,74
Male,Group c,Bachelor's degree,Standard,Completed,63,64,66
Female,Group e,Bachelor's degree,Standard,Completed,71,70,70
Female,Group b,High school,Free/reduced,None,64,73,71
Male,Group d,Bachelor's degree,Free/reduced,None,55,46,44
Female,Group e,Associate's degree,Standard,None,51,51,54
Female,Group c,Associate's degree,Standard,Completed,62,76,80
Female,Group e,Associate's degree,Standard,Completed,93,100,95
Male,Group c,High school,Free/reduced,None,54,72,59
Female,Group d,Some college,Free/reduced,None,69,65,74
Male,Group d,High school,Free/reduced,None,44,51,48
Female,Group e,Some college,Standard,Completed,86,85,91
Female,Group e,Associate's degree,Standard,None,85,92,85
Female,Group a,Master's degree,Free/reduced,None,50,67,73
Male,Group d,Some high school,Standard,Completed,88,74,75
Female,Group e,Associate's degree,Standard,None,59,62,69
Female,Group e,Some high school,Free/reduced,None,32,34,38
Male,Group b,High school,Free/reduced,None,36,29,27
Female,Group b,Some high school,Free/reduced,Completed,63,78,79
Male,Group d,Associate's degree,Standard,Completed,67,54,63
Female,Group d,Some high school,Standard,Completed,65,78,82
Male,Group d,Master's degree,Standard,None,85,84,89
Female,Group c,Master's degree,Standard,None,73,78,74
Female,Group a,High school,Free/reduced,Completed,34,48,41
Female,Group d,Bachelor's degree,Free/reduced,Completed,93,100,100
Female,Group d,Some high school,Free/reduced,None,67,84,84
Male,Group d,Some college,Standard,None,88,77,77
Male,Group b,High school,Standard,None,57,48,51
Female,Group d,Some college,Standard,Completed,79,84,91
Female,Group c,Bachelor's degree,Free/reduced,None,67,75,72
Male,Group e,Bachelor's degree,Standard,Completed,70,64,70
Male,Group d,Bachelor's degree,Free/reduced,None,50,42,48
Female,Group a,Some college,Standard,None,69,84,82
Female,Group c,Bachelor's degree,Standard,Completed,52,61,66
Female,Group c,Bachelor's degree,Free/reduced,Completed,47,62,66
Female,Group b,Associate's degree,Free/reduced,None,46,61,55
Female,Group e,Some college,Standard,None,68,70,66
Male,Group e,Bachelor's degree,Standard,Completed,100,100,100
Female,Group c,High school,Standard,None,44,61,52
Female,Group c,Associate's degree,Standard,Completed,57,77,80
Male,Group b,Some college,Standard,Completed,91,96,91
Male,Group d,High school,Free/reduced,None,69,70,67
Female,Group c,High school,Free/reduced,None,35,53,46
Male,Group d,High school,Standard,None,72,66,66
Female,Group b,Associate's degree,Free/reduced,None,54,65,65
Male,Group d,High school,Free/reduced,None,74,70,69
Male,Group e,Some high school,Standard,Completed,74,64,60
Male,Group e,Associate's degree,Free/reduced,None,64,56,52
Female,Group d,High school,Free/reduced,Completed,65,61,71
Male,Group e,Associate's degree,Free/reduced,Completed,46,43,44
Female,Group c,Some high school,Free/reduced,None,48,56,51
Male,Group c,Some college,Free/reduced,Completed,67,74,70
Male,Group d,Some college,Free/reduced,None,62,57,62
Male,Group d,Associate's degree,Free/reduced,Completed,61,71,73
Male,Group c,Bachelor's degree,Free/reduced,Completed,70,75,74
Male,Group c,Associate's degree,Standard,Completed,98,87,90
Male,Group d,Some college,Free/reduced,None,70,63,58
Male,Group a,Associate's degree,Standard,None,67,57,53
Female,Group e,High school,Free/reduced,None,57,58,57
Male,Group d,Some college,Standard,Completed,85,81,85
Male,Group d,Some high school,Standard,Completed,77,68,69
Male,Group c,Master's degree,Free/reduced,Completed,72,66,72
Female,Group d,Master's degree,Standard,None,78,91,96
Male,Group c,High school,Standard,None,81,66,64
Male,Group a,Some high school,Free/reduced,Completed,61,62,61
Female,Group b,High school,Standard,None,58,68,61
Female,Group c,Associate's degree,Standard,None,54,61,58
Male,Group b,High school,Standard,None,82,82,80
Female,Group d,Some college,Free/reduced,None,49,58,60
Male,Group b,Some high school,Free/reduced,Completed,49,50,52
Female,Group e,High school,Free/reduced,Completed,57,75,73
Male,Group e,High school,Standard,None,94,73,71
Female,Group d,Some college,Standard,Completed,75,77,83
Female,Group e,Some high school,Free/reduced,None,74,74,72
Male,Group c,High school,Standard,Completed,58,52,54
Female,Group c,Some college,Standard,None,62,69,69
Male,Group e,Associate's degree,Standard,None,72,57,62
Male,Group c,Some college,Standard,None,84,87,81
Female,Group d,Master's degree,Standard,None,92,100,100
Female,Group d,High school,Standard,None,45,63,59
Male,Group c,High school,Standard,None,75,81,71
Female,Group a,Some college,Standard,None,56,58,64
Female,Group d,Some high school,Free/reduced,None,48,54,53
Female,Group e,Associate's degree,Standard,None,100,100,100
Female,Group c,Some high school,Free/reduced,Completed,65,76,75
Male,Group d,Some college,Standard,None,72,57,58
Female,Group d,Some college,Standard,None,62,70,72
Male,Group a,Some high school,Standard,Completed,66,68,64
Male,Group c,Some college,Standard,None,63,63,60
Female,Group e,Associate's degree,Standard,None,68,76,67
Female,Group b,Bachelor's degree,Standard,None,75,84,80
Female,Group d,Bachelor's degree,Standard,None,89,100,100
Male,Group c,Some high school,Standard,Completed,78,72,69
Female,Group a,High school,Free/reduced,Completed,53,50,60
Female,Group d,Some college,Free/reduced,None,49,65,61
Female,Group a,Some college,Standard,None,54,63,67
Female,Group c,Some college,Standard,Completed,64,82,77
Male,Group b,Some college,Free/reduced,Completed,60,62,60
Male,Group c,Associate's degree,Standard,None,62,65,58
Male,Group d,High school,Standard,Completed,55,41,48
Female,Group c,Associate's degree,Standard,None,91,95,94
Female,Group b,High school,Free/reduced,None,8,24,23
Male,Group d,Some high school,Standard,None,81,78,78
Male,Group b,Some high school,Standard,Completed,79,85,86
Female,Group a,Some college,Standard,Completed,78,87,91
Female,Group c,Some high school,Standard,None,74,75,82
Male,Group a,High school,Standard,None,57,51,54
Female,Group c,Associate's degree,Standard,None,40,59,51
Male,Group e,Some high school,Standard,Completed,81,75,76
Female,Group a,Some high school,Free/reduced,None,44,45,45
Female,Group d,Some college,Free/reduced,Completed,67,86,83
Male,Group e,High school,Free/reduced,Completed,86,81,75
Female,Group b,Some high school,Standard,Completed,65,82,78
Female,Group d,Associate's degree,Free/reduced,None,55,76,76
Female,Group d,Bachelor's degree,Free/reduced,None,62,72,74
Male,Group a,High school,Standard,None,63,63,62
Female,Group e,Master's degree,Standard,Completed,88,99,95
Male,Group c,High school,Free/reduced,None,62,55,55
Female,Group c,High school,Free/reduced,Completed,59,71,65
Female,Group d,Some college,Standard,Completed,68,78,77
Female,Group d,Some college,Free/reduced,None,77,86,86
